node_id,heading,path,pano_date,on_target
n00000,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00000_000.jpg,2026-04,True
n00000,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00000_090.jpg,2026-04,True
n00000,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00000_180.jpg,2026-04,True
n00000,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00000_270.jpg,2026-04,True
n00001,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00001_000.jpg,2026-04,True
n00001,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00001_090.jpg,2026-04,True
n00001,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00001_180.jpg,2026-04,True
n00001,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00001_270.jpg,2026-04,True
n00002,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00002_000.jpg,2026-04,True
n00002,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00002_090.jpg,2026-04,True
n00002,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00002_180.jpg,2026-04,True
n00002,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00002_270.jpg,2026-04,True
n00003,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00003_000.jpg,2026-04,True
n00003,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00003_090.jpg,2026-04,True
n00003,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00003_180.jpg,2026-04,True
n00003,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00003_270.jpg,2026-04,True
n00004,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00004_000.jpg,2026-04,True
n00004,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00004_090.jpg,2026-04,True
n00004,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00004_180.jpg,2026-04,True
n00004,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00004_270.jpg,2026-04,True
n00005,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00005_000.jpg,2026-04,True
n00005,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00005_090.jpg,2026-04,True
n00005,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00005_180.jpg,2026-04,True
n00005,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00005_270.jpg,2026-04,True
n00006,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00006_000.jpg,2026-04,True
n00006,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00006_090.jpg,2026-04,True
n00006,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00006_180.jpg,2026-04,True
n00006,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00006_270.jpg,2026-04,True
n00007,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00007_000.jpg,2026-04,True
n00007,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00007_090.jpg,2026-04,True
n00007,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00007_180.jpg,2026-04,True
n00007,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00007_270.jpg,2026-04,True
n00008,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00008_000.jpg,2026-04,True
n00008,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00008_090.jpg,2026-04,True
n00008,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00008_180.jpg,2026-04,True
n00008,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00008_270.jpg,2026-04,True
n00009,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00009_000.jpg,2026-04,True
n00009,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00009_090.jpg,2026-04,True
n00009,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00009_180.jpg,2026-04,True
n00009,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00009_270.jpg,2026-04,True
n00010,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00010_000.jpg,2026-04,True
n00010,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00010_090.jpg,2026-04,True
n00010,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00010_180.jpg,2026-04,True
n00010,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00010_270.jpg,2026-04,True
n00011,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00011_000.jpg,2026-04,True
n00011,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00011_090.jpg,2026-04,True
n00011,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00011_180.jpg,2026-04,True
n00011,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00011_270.jpg,2026-04,True
n00012,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00012_000.jpg,2026-04,True
n00012,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00012_090.jpg,2026-04,True
n00012,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00012_180.jpg,2026-04,True
n00012,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00012_270.jpg,2026-04,True
n00013,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00013_000.jpg,2026-04,True
n00013,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00013_090.jpg,2026-04,True
n00013,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00013_180.jpg,2026-04,True
n00013,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00013_270.jpg,2026-04,True
n00014,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00014_000.jpg,2026-04,True
n00014,90,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00014_090.jpg,2026-04,True
n00014,180,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00014_180.jpg,2026-04,True
n00014,270,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00014_270.jpg,2026-04,True
n00015,0,C:\Users\lumic\Documents\murrayhill\data\raw\svi\n00015_000.jpg,2026-04,True
